guid,ttp
0512d214-9512-4d22-bde7-f37e058259b3,T1070.005
09210ad5-1ef2-4077-9ad3-7351e13e9222,T1070.005
14c38f32-6509-46d8-ab43-d53e32d2b131,T1070.005
4299eff5-90f1-4446-b2f3-7f4f5cfd5d62,T1070.005
99c657aa-ebeb-4179-a665-69288fdd12b8,T1070.005
81c13829-f6c9-45b8-85a6-053366d55297,T1071.001
1700f5d6-5a44-487b-84de-bc66f507b0a6,T1071.004
3efc144e-1af8-46bb-8ca2-1376bb6db8b6,T1071.004
fef31710-223a-40ee-8462-a396d6b66978,T1071.004
a57fbe4b-3440-452a-88a7-943531ac872a,T1074.001
99747561-ed8d-47f2-9c91-1e5fde1ed6e0,T1078.001
aa6cb8c4-b582-4f8e-b677-37733914abda,T1078.001
a524ce99-86de-4db6-b4f9-e08f35a47a15,T1078.003
224b4daf-db44-404e-b6b2-f4d1f0126ef8,T1082
66703791-c902-4560-8770-42b8a91f7667,T1082
69bd4abe-8759-49a6-8d21-0f15822d6370,T1082
85cfbf23-4a1e-4342-8792-007e004b975f,T1082
f400d1c0-1804-4ff8-b069-ef5ddd2adbf3,T1082
0e36303b-6762-4500-b003-127743b80ba6,T1083
2158908e-b7ef-4c21-8a83-3ce4dd05a924,T1083
c6c34f61-1c3e-40fb-8a58-d017d88286d8,T1083
80887bec-5a9b-4efc-a81d-f83eb2eb32ab,T1087.001
a138085e-bfe5-46ba-a242-74a6fb884af3,T1087.001
ae4b6361-b5f8-46cb-a3f9-9cf108ccfe7b,T1087.001
00c652e2-0750-4ca6-82ff-0204684a6fe4,T1087.002
02e8be5a-3065-4e54-8cc8-a14d138834d3,T1087.002
161dcd85-d014-4f5e-900c-d3eaae82a0f7,T1087.002
6fbc9e68-5ad7-444a-bd11-8bf3136c477e,T1087.002
7ab0205a-34e4-4a44-9b04-e1541d1a57be,T1087.002
8b8a6449-be98-4f42-afd2-dedddc7453b2,T1087.002
c70ab9fd-19e2-4e02-a83c-9cfa8eaa8fef,T1087.002
b8223ea9-4be2-44a6-b50a-9657a3d4e72a,T1090.001
d44b7297-622c-4be8-ad88-ec40d7563c75,T1091
5598f7cb-cf43-455e-883a-f6008c5d46af,T1098
1a02df58-09af-4064-a765-0babe1a0d1e2,T1105
2ca61766-b456-4fcf-a35a-1233685e1cad,T1105
42dc4460-9aa6-45d3-b1a6-3955d34e1fe8,T1105
49845fc1-7961-4590-a0f0-3dbcf065ae7e,T1105
54782d65-12f0-47a5-b4c1-b70ee23de6df,T1105
54a4daf1-71df-4383-9ba7-f1a295d8b6d2,T1105
5f507e45-8411-4f99-84e7-e38530c45d01,T1105
6fdaae87-c05b-42f8-842e-991a74e8376b,T1105
97116a3f-efac-4b26-8336-b9cb18c45188,T1105
a1921cd3-9a2d-47d5-a891-f1d0f2a7a31b,T1105
dd3b61dd-7bbc-48cd-ab51-49ad1a776df0,T1105
ed0335ac-0354-400c-8148-f6151d20035a,T1105
fa5a2759-41d7-4e13-a19c-e8f28a53566f,T1105
ffd492e3-0455-4518-9fb1-46527c9f241b,T1105
99be2089-c52d-4a4a-b5c3-261ee42c8b62,T1106
003f466a-6010-4b15-803a-cbb478a314d7,T1112
0b79c06f-c788-44a2-8630-d69051f1123d,T1112
12f50e15-dbc6-478b-a801-a746e8ba1723,T1112
1324796b-d0f6-455a-b4ae-21ffee6aa6b9,T1112
15f44ea9-4571-4837-be9e-802431a7bfae,T1112
1dd59fb3-1cb3-4828-805d-cf80b4c3bbb5,T1112
20fc9daa-bd48-4325-9aff-81b967a84b1d,T1112
282f929a-6bc5-42b8-bd93-960c3ba35afe,T1112
3dacb0d2-46ee-4c27-ac1b-f9886bf91a56,T1112
